Gene Z_eqtl p_eqtl Z_twas p_twas
A1BG -1.12292830598782 0.261467944622917 -1.29373064445664 0.195758476405907
A2M 2.72648883966831 0.00640121172946095 0.377453979358751 0.705836258521711
A3GALT2 -1.49536099245766 0.1348202550299 -0.102634213864803 0.918253287480102
A4GALT -0.719149012820301 0.472049110996271 1.06675890945493 0.286080718006997
A4GNT 0.643256328645716 0.520057788452423 -0.548530764390636 0.583327511134508
AAAS 0.219951243372557 0.825909126935198 -1.26417744159699 0.206166345710855
AACS -0.785198745285672 0.432337051014602 -1.2268617324793 0.219874563657768
AADAC 0.317632085031242 0.750764033234056 0.410790234804153 0.681226354232712
AADAT -0.074487159533965 0.940622757990661 -0.0816284846624075 0.934942149390432
AAGAB 1.22687572836485 0.219869302407966 0.85486406626547 0.392626405716512
AAMDC -1.62697814569121 0.103741739394614 1.74515711978613 0.0809575230379852
AAMP 1.2189151154724 0.222876411980774 0.271939430488684 0.78566859213834
AANAT 2.32097876775363 0.0202879898003012 0.0234065055847168 0.981326015722697
AAR2 0.450054444291778 0.65267118378648 -1.47732162475586 0.139589444004455
AARD 3.54076657596474 0.000398966375487975 0.491048181370796 0.623392370343663
AARS2 0.38510069462137 0.700162813393926 0.623252516747281 0.533118595650007
AASDH 2.13920927463356 0.0324187233903668 1.03296066339108 0.301622307665435
AASS -0.778170001552841 0.43646879919575 -0.979068875312805 0.327545949174629
AATK 1.57207504580389 0.11593314797803 1.33692369416636 0.181247545720964
ABAT -0.258129760418675 0.796306764168727 0.185409069061279 0.852908195663058
ABCA1 0.735898802940715 0.46179228582207 0.311758276927593 0.75522423492486
ABCA10 1.24477724749921 0.21321364180881 0.0246543250977993 0.980330687286196
ABCA13 -1.12008724827267 0.262676584071991 0.800214564962431 0.423586492522351
ABCA2 0.490244774933097 0.623960700424768 -0.340174496173859 0.733725123238573
ABCA3 -0.286401883377492 0.774570332366745 -0.639721691608429 0.522353550609942
ABCA5 2.14533408360542 0.0319261452391343 0.734625509983426 0.462567597489825
ABCA6 0.553504098003601 0.579918275243615 2.26710605621338 0.0233837477091999
